Store Code,Mall/HS,Business Name,Zone,Zone New,City,State,Comment Date,Comment Date_NEW,Month_No.,Month,Quarter,Quarter,FY,Customer Response,Customer Rating,Sentiment,Response_Type
PRM,High-Street,Mochi Shoes,East Zone,East,Patna,Bihar,11-04-2024 19:28,11-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,One of the waste service in patna location of mochi brand manager behaviour is very rude,1,NEGATIVE,In-Store Experience
KOM,High-Street,Mochi Shoes,West Zone,West,Kota,Rajasthan,11-04-2024 20:24,11-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,"I bought a pair of shoes from ""Mochi"" store, Gumanpura, Kota on 04-08-23. The billing was in the name of Jaishree Rathore. Bar code no. 31 1196 H 38. They provided a shoe cleaner with their shoes. After 5 6 uses of the shoes, I washed them with the cleaner provided by them. But right after the cleaning from their cleaner, there pop out lot of stains of the shoes. I went to the store regarding this. They kept the shoes saying that they will remove the stains. But when I visited the store again after few days, they denied their promise and behaved in a very non cooperative manner. Since I bought the shoes for ₹4500 and I used them only 4 -5 times. Further the shoes got stains by using the cleaner provided by the company itself. Also the company denied any help and cooperation in this regard. I request you to take necessary actions in this regard and either replace the shoes or refund the amount for the same. Thank you.",1,NEGATIVE,Product Pricing
GUH,High-Street,Metro Shoes,East Zone,East,Guwahati,Assam,11-04-2024 21:11,11-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,"We have been purchasing from here since years. They have started reducing their shoe size and don't have many options.
Thankyou metro for serving us for many years this was my last visit.",1,NEGATIVE,Size Availability
PPM,Mall,Mochi Shoes,West Zone,West,Pune,Maharashtra,12-04-2024 09:01,12-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Nice collection of lether shoes.,4,POSITIVE,Product Assortment
TTV,Mall,Walkway Shoes,South Zone,South,Thiruvananthapuram,Kerala,12-04-2024 09:40,12-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Very bad product and all so customer service,1,NEGATIVE,In-Store Experience
AAS,Mall,Metro Shoes,West Zone,West,Ahmedabad,Gujarat,12-04-2024 09:53,12-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,We have been purchasing from here since years. They have started reducing their shoe size and don't have many options.,1,NEGATIVE,Size Availability
AAS,Mall,Metro Shoes,West Zone,West,Ahmedabad,Gujarat,12-04-2024 10:04,12-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Don't have many choices.,2,NEGATIVE,Product Assortment
IPQ,High-Street,Crocs,East Zone,East,Imphal,Manipur,12-04-2024 12:07,12-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Good place,5,POSITIVE,In-Store Experience
BUQ,Mall,Crocs,South Zone,South,Bangaluru,Karnataka,12-04-2024 14:20,12-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,The muslim guy at the store was rude and irresponsible,1,NEGATIVE,In-Store Experience
DXL,High-Street,Metro Shoes,North Zone,North,New Delhi,Delhi,12-04-2024 14:21,12-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Shoe quality not good,2,NEGATIVE,Product Quality
DRP,Mall,Metro Shoes,North Zone,North,New Delhi,Delhi,12-04-2024 14:22,12-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Not a good experience from this store.,1,NEGATIVE,In-Store Experience
DXL,High-Street,Metro Shoes,North Zone,North,New Delhi,Delhi,12-04-2024 14:23,12-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,The quality of shoes does not matches the price.,2,NEGATIVE,Product Quality
